pong_v1 pettingzoo
Load pong_v1 environment in type pettingzoo.
<env.wrappers.mars_wrappers.Dict2TupleWrapper object at 0x7fb14eeb1c90>
Agents No. [1] (index starting from 0) are not learnable.
Arguments:  {'env_name': 'pong_v1', 'env_type': 'pettingzoo', 'num_envs': 1, 'ram': True, 'seed': 12234, 'algorithm': 'DQN', 'algorithm_spec': {'episodic_update': False, 'dueling': True, 'replay_buffer_size': '1e5', 'gamma': 0.99, 'multi_step': 1, 'target_update_interval': 1000, 'eps_start': 1.0, 'eps_final': 0.01, 'eps_decay': 30000}, 'hidden_dim': 64, 'batch_size': 64, 'max_episodes': 10000, 'max_steps_per_episode': 10000, 'train_start_frame': 10000, 'optimizer': 'adam', 'learning_rate': '1e-4', 'device': 'gpu', 'update_itr': 1, 'log_avg_window': 20, 'log_interval': 20, 'render': False, 'test': False, 'exploit': False, 'load_model_idx': False, 'load_model_full_path': False, 'net_architecture': {'hidden_dim_list': [64, 64, 64], 'hidden_activation': 'Tanh', 'output_activation': False}, 'marl_method': 'selfplay', 'marl_spec': {'selfplay_score_delta': 20, 'trainable_agent_idx': 0, 'opponent_idx': 1}}
Episode: 1, avg. length 1323.0
first_0:                 episode reward: -14.1500,                 loss: 0.0136
second_0:                 episode reward: 14.1500,                 loss: nan
Episode: 601, avg. length 1182.05
first_0:                 episode reward: -9.0000,                 loss: 0.0052
second_0:                 episode reward: 9.0000,                 loss: nan
Episode: 621, avg. length 1352.2
first_0:                 episode reward: -5.4000,                 loss: 0.0061
second_0:                 episode reward: 5.4000,                 loss: nan
Episode: 641, avg. length 1226.75
first_0:                 episode reward: -6.6500,                 loss: 0.0090
second_0:                 episode reward: 6.6500,                 loss: nan
Episode: 661, avg. length 1414.55
first_0:                 episode reward: -9.6500,                 loss: 0.0074
second_0:                 episode reward: 9.6500,                 loss: nan
Episode: 681, avg. length 1343.75
first_0:                 episode reward: -11.8000,                 loss: 0.0086
second_0:                 episode reward: 11.8000,                 loss: nan
Episode: 701, avg. length 1136.45
first_0:                 episode reward: -13.4500,                 loss: 0.0084
second_0:                 episode reward: 13.4500,                 loss: nan
Episode: 721, avg. length 1385.3
first_0:                 episode reward: -1.9000,                 loss: 0.0054
second_0:                 episode reward: 1.9000,                 loss: nan
Episode: 741, avg. length 1292.95
first_0:                 episode reward: -11.6000,                 loss: 0.0081
second_0:                 episode reward: 11.6000,                 loss: nan
Episode: 761, avg. length 1446.15
first_0:                 episode reward: -9.0000,                 loss: 0.0059
second_0:                 episode reward: 9.0000,                 loss: nan
Episode: 781, avg. length 1299.2
first_0:                 episode reward: -2.3500,                 loss: 0.0047
second_0:                 episode reward: 2.3500,                 loss: nan
Episode: 801, avg. length 1459.1
first_0:                 episode reward: -5.3000,                 loss: 0.0084
second_0:                 episode reward: 5.3000,                 loss: nan
Episode: 821, avg. length 1492.3
first_0:                 episode reward: -10.5000,                 loss: 0.0089
second_0:                 episode reward: 10.5000,                 loss: nan
Episode: 841, avg. length 1433.75
first_0:                 episode reward: -10.2000,                 loss: 0.0048
second_0:                 episode reward: 10.2000,                 loss: nan
Episode: 861, avg. length 1424.35
first_0:                 episode reward: -14.3000,                 loss: 0.0059
second_0:                 episode reward: 14.3000,                 loss: nan
Episode: 881, avg. length 1420.1
first_0:                 episode reward: -7.3000,                 loss: 0.0026
second_0:                 episode reward: 7.3000,                 loss: nan
Episode: 901, avg. length 1275.4
first_0:                 episode reward: 5.7000,                 loss: 0.0070
second_0:                 episode reward: -5.7000,                 loss: nan
Episode: 921, avg. length 1382.55
first_0:                 episode reward: 1.9000,                 loss: 0.0047
second_0:                 episode reward: -1.9000,                 loss: nan
Episode: 941, avg. length 1279.55
first_0:                 episode reward: -0.6000,                 loss: 0.0037
second_0:                 episode reward: 0.6000,                 loss: nan
Episode: 961, avg. length 1358.4
first_0:                 episode reward: -7.1000,                 loss: 0.0047
second_0:                 episode reward: 7.1000,                 loss: nan
Episode: 981, avg. length 1308.25
first_0:                 episode reward: -9.2500,                 loss: 0.0085
second_0:                 episode reward: 9.2500,                 loss: nan
Episode: 1001, avg. length 1175.4
first_0:                 episode reward: -1.0500,                 loss: 0.0053
second_0:                 episode reward: 1.0500,                 loss: nan
Score delta: 21.2, udpate the opponent.
Episode: 1021, avg. length 772.05
first_0:                 episode reward: 20.1000,                 loss: 0.0059
second_0:                 episode reward: -20.1000,                 loss: nan
Score delta: 42.0, udpate the opponent.
Episode: 1041, avg. length 728.15
first_0:                 episode reward: 21.0000,                 loss: 0.0054
second_0:                 episode reward: -21.0000,                 loss: nan
Score delta: 42.0, udpate the opponent.
Episode: 1061, avg. length 728.0
first_0:                 episode reward: 21.0000,                 loss: 0.0044
second_0:                 episode reward: -21.0000,                 loss: nan
Score delta: 42.0, udpate the opponent.
Episode: 1081, avg. length 984.15
first_0:                 episode reward: 10.7000,                 loss: 0.0042
second_0:                 episode reward: -10.7000,                 loss: nan
Episode: 1101, avg. length 1374.9
first_0:                 episode reward: -4.4500,                 loss: 0.0026
